t,Date,MOH(t),ANTM(t),HUM(t),UNH(t),MOH(t-1),ANTM(t-1),HUM(t-1),UNH(t-1),MOH(t-2),ANTM(t-2),HUM(t-2),UNH(t-2),MOH(t-3),ANTM(t-3),HUM(t-3),UNH(t-3),Y(t)
1,1/22/16,56.299999,141.399994,166.220001,114.33000200000001,55.419998,138.779999,166.110001,113.5,55.279999,137.490005,164.740005,114.790001,54.02,136.850006,164.0,112.58000200000001,113.379997
2,1/25/16,54.509997999999996,138.669998,163.28999299999998,113.379997,56.299999,141.399994,166.220001,114.33000200000001,55.419998,138.779999,166.110001,113.5,55.279999,137.490005,164.740005,114.790001,113.959999
3,1/26/16,55.700001,137.759995,164.66000400000001,113.959999,54.509997999999996,138.669998,163.28999299999998,113.379997,56.299999,141.399994,166.220001,114.33000200000001,55.419998,138.779999,166.110001,113.5,112.33000200000001
4,1/27/16,54.389998999999996,131.229996,161.300003,112.33000200000001,55.700001,137.759995,164.66000400000001,113.959999,54.509997999999996,138.669998,163.28999299999998,113.379997,56.299999,141.399994,166.220001,114.33000200000001,111.379997
5,1/28/16,53.66,126.41999799999999,159.78999299999998,111.379997,54.389998999999996,131.229996,161.300003,112.33000200000001,55.700001,137.759995,164.66000400000001,113.959999,54.509997999999996,138.669998,163.28999299999998,113.379997,115.160004
6,1/29/16,54.91,130.490005,162.78999299999998,115.160004,53.66,126.41999799999999,159.78999299999998,111.379997,54.389998999999996,131.229996,161.300003,112.33000200000001,55.700001,137.759995,164.66000400000001,113.959999,115.889999
7,2/1/16,54.400002,129.720001,167.580002,115.889999,54.91,130.490005,162.78999299999998,115.160004,53.66,126.41999799999999,159.78999299999998,111.379997,54.389998999999996,131.229996,161.300003,112.33000200000001,113.879997
8,2/2/16,53.84,127.010002,166.869995,113.879997,54.400002,129.720001,167.580002,115.889999,54.91,130.490005,162.78999299999998,115.160004,53.66,126.41999799999999,159.78999299999998,111.379997,112.75
9,2/3/16,53.950001,126.83000200000001,166.779999,112.75,53.84,127.010002,166.869995,113.879997,54.400002,129.720001,167.580002,115.889999,54.91,130.490005,162.78999299999998,115.160004,114.199997
10,2/4/16,55.43,126.639999,168.649994,114.199997,53.950001,126.83000200000001,166.779999,112.75,53.84,127.010002,166.869995,113.879997,54.400002,129.720001,167.580002,115.889999,111.720001
11,2/5/16,52.259997999999996,123.379997,164.779999,111.720001,55.43,126.639999,168.649994,114.199997,53.950001,126.83000200000001,166.779999,112.75,53.84,127.010002,166.869995,113.879997,110.019997
12,2/8/16,51.130001,117.220001,156.96000700000002,110.019997,52.259997999999996,123.379997,164.779999,111.720001,55.43,126.639999,168.649994,114.199997,53.950001,126.83000200000001,166.779999,112.75,111.160004
13,2/9/16,51.48,119.82,159.529999,111.160004,51.130001,117.220001,156.96000700000002,110.019997,52.259997999999996,123.379997,164.779999,111.720001,55.43,126.639999,168.649994,114.199997,112.739998
14,2/10/16,51.48,121.470001,161.070007,112.739998,51.48,119.82,159.529999,111.160004,51.130001,117.220001,156.96000700000002,110.019997,52.259997999999996,123.379997,164.779999,111.720001,110.620003
15,2/11/16,54.549999,119.980003,158.020004,110.620003,51.48,121.470001,161.070007,112.739998,51.48,119.82,159.529999,111.160004,51.130001,117.220001,156.96000700000002,110.019997,111.82
16,2/12/16,55.889998999999996,121.550003,160.369995,111.82,54.549999,119.980003,158.020004,110.620003,51.48,121.470001,161.070007,112.739998,51.48,119.82,159.529999,111.160004,115.150002
17,2/16/16,58.099998,124.83000200000001,166.639999,115.150002,55.889998999999996,121.550003,160.369995,111.82,54.549999,119.980003,158.020004,110.620003,51.48,121.470001,161.070007,112.739998,118.300003
18,2/17/16,59.220001,127.559998,168.309998,118.300003,58.099998,124.83000200000001,166.639999,115.150002,55.889998999999996,121.550003,160.369995,111.82,54.549999,119.980003,158.020004,110.620003,117.449997
19,2/18/16,60.400002,128.020004,167.75,117.449997,59.220001,127.559998,168.309998,118.300003,58.099998,124.83000200000001,166.639999,115.150002,55.889998999999996,121.550003,160.369995,111.82,117.68
20,2/19/16,59.580002,127.230003,165.33999599999999,117.68,60.400002,128.020004,167.75,117.449997,59.220001,127.559998,168.309998,118.300003,58.099998,124.83000200000001,166.639999,115.150002,121.269997
21,2/22/16,62.689999,132.169998,171.75,121.269997,59.580002,127.230003,165.33999599999999,117.68,60.400002,128.020004,167.75,117.449997,59.220001,127.559998,168.309998,118.300003,121.150002
22,2/23/16,62.279999,131.270004,172.830002,121.150002,62.689999,132.169998,171.75,121.269997,59.580002,127.230003,165.33999599999999,117.68,60.400002,128.020004,167.75,117.449997,120.199997
23,2/24/16,62.380001,130.75,172.28999299999998,120.199997,62.279999,131.270004,172.830002,121.150002,62.689999,132.169998,171.75,121.269997,59.580002,127.230003,165.33999599999999,117.68,121.199997
24,2/25/16,63.369999,132.229996,176.600006,121.199997,62.380001,130.75,172.28999299999998,120.199997,62.279999,131.270004,172.830002,121.150002,62.689999,132.169998,171.75,121.269997,121.33000200000001
25,2/26/16,62.66,132.5,178.71000700000002,121.33000200000001,63.369999,132.229996,176.600006,121.199997,62.380001,130.75,172.28999299999998,120.199997,62.279999,131.270004,172.830002,121.150002,119.099998
26,2/29/16,62.040001000000004,130.690002,176.970001,119.099998,62.66,132.5,178.71000700000002,121.33000200000001,63.369999,132.229996,176.600006,121.199997,62.380001,130.75,172.28999299999998,120.199997,121.66999799999999
27,3/1/16,63.740002000000004,131.800003,181.229996,121.66999799999999,62.040001000000004,130.690002,176.970001,119.099998,62.66,132.5,178.71000700000002,121.33000200000001,63.369999,132.229996,176.600006,121.199997,121.269997
28,3/2/16,64.010002,134.08999599999999,182.699997,121.269997,63.740002000000004,131.800003,181.229996,121.66999799999999,62.040001000000004,130.690002,176.970001,119.099998,62.66,132.5,178.71000700000002,121.33000200000001,121.82
29,3/3/16,64.860001,132.970001,183.220001,121.82,64.010002,134.08999599999999,182.699997,121.269997,63.740002000000004,131.800003,181.229996,121.66999799999999,62.040001000000004,130.690002,176.970001,119.099998,121.800003
30,3/4/16,63.93,132.350006,183.25,121.800003,64.860001,132.970001,183.220001,121.82,64.010002,134.08999599999999,182.699997,121.269997,63.740002000000004,131.800003,181.229996,121.66999799999999,121.760002
31,3/7/16,64.529999,133.199997,184.25,121.760002,63.93,132.350006,183.25,121.800003,64.860001,132.970001,183.220001,121.82,64.010002,134.08999599999999,182.699997,121.269997,121.660004
32,3/8/16,63.080002,132.479996,182.520004,121.660004,64.529999,133.199997,184.25,121.760002,63.93,132.350006,183.25,121.800003,64.860001,132.970001,183.220001,121.82,121.099998
33,3/9/16,63.73,134.53999299999998,184.429993,121.099998,63.080002,132.479996,182.520004,121.660004,64.529999,133.199997,184.25,121.760002,63.93,132.350006,183.25,121.800003,122.089996
34,3/10/16,63.889998999999996,137.809998,184.759995,122.089996,63.73,134.53999299999998,184.429993,121.099998,63.080002,132.479996,182.520004,121.660004,64.529999,133.199997,184.25,121.760002,125.099998
35,3/11/16,66.239998,143.100006,186.91000400000001,125.099998,63.889998999999996,137.809998,184.759995,122.089996,63.73,134.53999299999998,184.429993,121.099998,63.080002,132.479996,182.520004,121.660004,125.220001
36,3/14/16,65.599998,144.169998,186.330002,125.220001,66.239998,143.100006,186.91000400000001,125.099998,63.889998999999996,137.809998,184.759995,122.089996,63.73,134.53999299999998,184.429993,121.099998,124.849998
37,3/15/16,63.970001,142.309998,183.91000400000001,124.849998,65.599998,144.169998,186.330002,125.220001,66.239998,143.100006,186.91000400000001,125.099998,63.889998999999996,137.809998,184.759995,122.089996,124.900002
38,3/16/16,64.839996,143.509995,183.389999,124.900002,63.970001,142.309998,183.91000400000001,124.849998,65.599998,144.169998,186.330002,125.220001,66.239998,143.100006,186.91000400000001,125.099998,124.529999
39,3/17/16,64.190002,140.350006,182.53999299999998,124.529999,64.839996,143.509995,183.389999,124.900002,63.970001,142.309998,183.91000400000001,124.849998,65.599998,144.169998,186.330002,125.220001,126.720001
40,3/18/16,64.480003,142.679993,184.600006,126.720001,64.190002,140.350006,182.53999299999998,124.529999,64.839996,143.509995,183.389999,124.900002,63.970001,142.309998,183.91000400000001,124.849998,126.739998
41,3/21/16,63.259997999999996,140.0,183.729996,126.739998,64.480003,142.679993,184.600006,126.720001,64.190002,140.350006,182.53999299999998,124.529999,64.839996,143.509995,183.389999,124.900002,128.020004
42,3/22/16,63.34,140.869995,184.360001,128.020004,63.259997999999996,140.0,183.729996,126.739998,64.480003,142.679993,184.600006,126.720001,64.190002,140.350006,182.53999299999998,124.529999,129.78999299999998
43,3/23/16,62.919998,139.5,183.58999599999999,129.78999299999998,63.34,140.869995,184.360001,128.020004,63.259997999999996,140.0,183.729996,126.739998,64.480003,142.679993,184.600006,126.720001,128.58999599999999
44,3/24/16,63.34,139.970001,184.070007,128.58999599999999,62.919998,139.5,183.58999599999999,129.78999299999998,63.34,140.869995,184.360001,128.020004,63.259997999999996,140.0,183.729996,126.739998,128.919998
45,3/28/16,63.290001000000004,139.559998,182.929993,128.919998,63.34,139.970001,184.070007,128.58999599999999,62.919998,139.5,183.58999599999999,129.78999299999998,63.34,140.869995,184.360001,128.020004,129.830002
46,3/29/16,65.300003,140.279999,185.759995,129.830002,63.290001000000004,139.559998,182.929993,128.919998,63.34,139.970001,184.070007,128.58999599999999,62.919998,139.5,183.58999599999999,129.78999299999998,129.679993
47,3/30/16,64.260002,139.970001,184.889999,129.679993,65.300003,140.279999,185.759995,129.830002,63.290001000000004,139.559998,182.929993,128.919998,63.34,139.970001,184.070007,128.58999599999999,128.899994
48,3/31/16,64.489998,138.990005,182.949997,128.899994,64.260002,139.970001,184.889999,129.679993,65.300003,140.279999,185.759995,129.830002,63.290001000000004,139.559998,182.929993,128.919998,129.919998
49,4/1/16,64.910004,141.850006,184.740005,129.919998,64.489998,138.990005,182.949997,128.899994,64.260002,139.970001,184.889999,129.679993,65.300003,140.279999,185.759995,129.830002,129.490005
50,4/4/16,64.449997,147.259995,185.470001,129.490005,64.910004,141.850006,184.740005,129.919998,64.489998,138.990005,182.949997,128.899994,64.260002,139.970001,184.889999,129.679993,127.040001
51,4/5/16,63.169998,143.33999599999999,181.029999,127.040001,64.449997,147.259995,185.470001,129.490005,64.910004,141.850006,184.740005,129.919998,64.489998,138.990005,182.949997,128.899994,128.029999
52,4/6/16,64.269997,144.869995,180.350006,128.029999,63.169998,143.33999599999999,181.029999,127.040001,64.449997,147.259995,185.470001,129.490005,64.910004,141.850006,184.740005,129.919998,126.870003
53,4/7/16,62.91,143.419998,172.580002,126.870003,64.269997,144.869995,180.350006,128.029999,63.169998,143.33999599999999,181.029999,127.040001,64.449997,147.259995,185.470001,129.490005,125.68
54,4/8/16,62.790001000000004,143.740005,171.029999,125.68,62.91,143.419998,172.580002,126.870003,64.269997,144.869995,180.350006,128.029999,63.169998,143.33999599999999,181.029999,127.040001,126.33000200000001
55,4/11/16,60.509997999999996,140.899994,167.46000700000002,126.33000200000001,62.790001000000004,143.740005,171.029999,125.68,62.91,143.419998,172.580002,126.870003,64.269997,144.869995,180.350006,128.029999,126.800003
56,4/12/16,61.02,142.869995,170.41000400000001,126.800003,60.509997999999996,140.899994,167.46000700000002,126.33000200000001,62.790001000000004,143.740005,171.029999,125.68,62.91,143.419998,172.580002,126.870003,127.760002
57,4/13/16,62.029999,143.550003,169.96000700000002,127.760002,61.02,142.869995,170.41000400000001,126.800003,60.509997999999996,140.899994,167.46000700000002,126.33000200000001,62.790001000000004,143.740005,171.029999,125.68,127.980003
58,4/14/16,61.279999,143.21000700000002,168.240005,127.980003,62.029999,143.550003,169.96000700000002,127.760002,61.02,142.869995,170.41000400000001,126.800003,60.509997999999996,140.899994,167.46000700000002,126.33000200000001,127.33000200000001
59,4/15/16,61.220001,142.91000400000001,169.869995,127.33000200000001,61.279999,143.21000700000002,168.240005,127.980003,62.029999,143.550003,169.96000700000002,127.760002,61.02,142.869995,170.41000400000001,126.800003,127.809998
60,4/18/16,61.720001,142.58999599999999,171.720001,127.809998,61.220001,142.91000400000001,169.869995,127.33000200000001,61.279999,143.21000700000002,168.240005,127.980003,62.029999,143.550003,169.96000700000002,127.760002,130.5
61,4/19/16,62.43,144.399994,174.770004,130.5,61.720001,142.58999599999999,171.720001,127.809998,61.220001,142.91000400000001,169.869995,127.33000200000001,61.279999,143.21000700000002,168.240005,127.980003,133.929993
62,4/20/16,63.740002000000004,145.520004,174.5,133.929993,62.43,144.399994,174.770004,130.5,61.720001,142.58999599999999,171.720001,127.809998,61.220001,142.91000400000001,169.869995,127.33000200000001,132.96000700000002
63,4/21/16,63.419998,145.91000400000001,173.449997,132.96000700000002,63.740002000000004,145.520004,174.5,133.929993,62.43,144.399994,174.770004,130.5,61.720001,142.58999599999999,171.720001,127.809998,134.130005
64,4/22/16,65.059998,147.520004,175.300003,134.130005,63.419998,145.91000400000001,173.449997,132.96000700000002,63.740002000000004,145.520004,174.5,133.929993,62.43,144.399994,174.770004,130.5,133.779999
65,4/25/16,65.480003,146.08999599999999,176.110001,133.779999,65.059998,147.520004,175.300003,134.130005,63.419998,145.91000400000001,173.449997,132.96000700000002,63.740002000000004,145.520004,174.5,133.929993,134.240005
66,4/26/16,67.720001,147.070007,178.479996,134.240005,65.480003,146.08999599999999,176.110001,133.779999,65.059998,147.520004,175.300003,134.130005,63.419998,145.91000400000001,173.449997,132.96000700000002,132.800003
67,4/27/16,65.220001,144.759995,177.559998,132.800003,67.720001,147.070007,178.479996,134.240005,65.480003,146.08999599999999,176.110001,133.779999,65.059998,147.520004,175.300003,134.130005,132.070007
68,4/28/16,64.220001,144.0,177.869995,132.070007,65.220001,144.759995,177.559998,132.800003,67.720001,147.070007,178.479996,134.240005,65.480003,146.08999599999999,176.110001,133.779999,131.679993
69,4/29/16,51.759997999999996,140.770004,177.070007,131.679993,64.220001,144.0,177.869995,132.070007,65.220001,144.759995,177.559998,132.800003,67.720001,147.070007,178.479996,134.240005,132.100006
70,5/2/16,49.790001000000004,140.479996,177.610001,132.100006,51.759997999999996,140.770004,177.070007,131.679993,64.220001,144.0,177.869995,132.070007,65.220001,144.759995,177.559998,132.800003,132.46000700000002
71,5/3/16,47.959998999999996,141.419998,176.929993,132.46000700000002,49.790001000000004,140.479996,177.610001,132.100006,51.759997999999996,140.770004,177.070007,131.679993,64.220001,144.0,177.869995,132.070007,132.029999
72,5/4/16,46.23,138.729996,175.699997,132.029999,47.959998999999996,141.419998,176.929993,132.46000700000002,49.790001000000004,140.479996,177.610001,132.100006,51.759997999999996,140.770004,177.070007,131.679993,132.309998
73,5/5/16,45.369999,137.070007,174.110001,132.309998,46.23,138.729996,175.699997,132.029999,47.959998999999996,141.419998,176.929993,132.46000700000002,49.790001000000004,140.479996,177.610001,132.100006,132.03999299999998
74,5/6/16,45.490002000000004,137.25,170.679993,132.03999299999998,45.369999,137.070007,174.110001,132.309998,46.23,138.729996,175.699997,132.029999,47.959998999999996,141.419998,176.929993,132.46000700000002,132.669998
75,5/9/16,47.169998,138.440002,171.279999,132.669998,45.490002000000004,137.25,170.679993,132.03999299999998,45.369999,137.070007,174.110001,132.309998,46.23,138.729996,175.699997,132.029999,133.570007
76,5/10/16,46.959998999999996,140.16000400000001,173.53999299999998,133.570007,47.169998,138.440002,171.279999,132.669998,45.490002000000004,137.25,170.679993,132.03999299999998,45.369999,137.070007,174.110001,132.309998,130.690002
77,5/11/16,46.619999,139.570007,170.059998,130.690002,46.959998999999996,140.16000400000001,173.53999299999998,133.570007,47.169998,138.440002,171.279999,132.669998,45.490002000000004,137.25,170.679993,132.03999299999998,129.740005
78,5/12/16,46.720001,136.080002,165.809998,129.740005,46.619999,139.570007,170.059998,130.690002,46.959998999999996,140.16000400000001,173.53999299999998,133.570007,47.169998,138.440002,171.279999,132.669998,129.0
79,5/13/16,46.740002000000004,135.509995,165.229996,129.0,46.720001,136.080002,165.809998,129.740005,46.619999,139.570007,170.059998,130.690002,46.959998999999996,140.16000400000001,173.53999299999998,133.570007,130.639999
80,5/16/16,46.68,137.229996,171.520004,130.639999,46.740002000000004,135.509995,165.229996,129.0,46.720001,136.080002,165.809998,129.740005,46.619999,139.570007,170.059998,130.690002,129.559998
81,5/17/16,46.049999,136.21000700000002,170.800003,129.559998,46.68,137.229996,171.520004,130.639999,46.740002000000004,135.509995,165.229996,129.0,46.720001,136.080002,165.809998,129.740005,130.509995
82,5/18/16,45.799999,136.080002,170.220001,130.509995,46.049999,136.21000700000002,170.800003,129.559998,46.68,137.229996,171.520004,130.639999,46.740002000000004,135.509995,165.229996,129.0,130.0
83,5/19/16,45.34,133.78999299999998,168.330002,130.0,45.799999,136.080002,170.220001,130.509995,46.049999,136.21000700000002,170.800003,129.559998,46.68,137.229996,171.520004,130.639999,130.940002
84,5/20/16,46.009997999999996,135.729996,169.600006,130.940002,45.34,133.78999299999998,168.330002,130.0,45.799999,136.080002,170.220001,130.509995,46.049999,136.21000700000002,170.800003,129.559998,130.419998
85,5/23/16,46.77,133.179993,169.58999599999999,130.419998,46.009997999999996,135.729996,169.600006,130.940002,45.34,133.78999299999998,168.330002,130.0,45.799999,136.080002,170.220001,130.509995,132.58999599999999
86,5/24/16,47.119999,128.479996,170.779999,132.58999599999999,46.77,133.179993,169.58999599999999,130.419998,46.009997999999996,135.729996,169.600006,130.940002,45.34,133.78999299999998,168.330002,130.0,133.419998
87,5/25/16,48.450001,130.96000700000002,174.699997,133.419998,47.119999,128.479996,170.779999,132.58999599999999,46.77,133.179993,169.58999599999999,130.419998,46.009997999999996,135.729996,169.600006,130.940002,132.979996
88,5/26/16,47.889998999999996,129.610001,174.25,132.979996,48.450001,130.96000700000002,174.699997,133.419998,47.119999,128.479996,170.779999,132.58999599999999,46.77,133.179993,169.58999599999999,130.419998,134.0
89,5/27/16,48.560001,130.699997,173.740005,134.0,47.889998999999996,129.610001,174.25,132.979996,48.450001,130.96000700000002,174.699997,133.419998,47.119999,128.479996,170.779999,132.58999599999999,133.669998
90,5/31/16,48.43,132.16000400000001,172.509995,133.669998,48.560001,130.699997,173.740005,134.0,47.889998999999996,129.610001,174.25,132.979996,48.450001,130.96000700000002,174.699997,133.419998,134.529999
