t,Date,MOH,ANTM,HUM,UNH
1,1/19/16,54.02,136.850006,164.0,112.58000200000001
2,1/20/16,55.279999,137.490005,164.740005,114.790001
3,1/21/16,55.419998,138.779999,166.110001,113.5
4,1/22/16,56.299999,141.399994,166.220001,114.33000200000001
5,1/25/16,54.509997999999996,138.669998,163.28999299999998,113.379997
6,1/26/16,55.700001,137.759995,164.66000400000001,113.959999
7,1/27/16,54.389998999999996,131.229996,161.300003,112.33000200000001
8,1/28/16,53.66,126.41999799999999,159.78999299999998,111.379997
9,1/29/16,54.91,130.490005,162.78999299999998,115.160004
10,2/1/16,54.400002,129.720001,167.580002,115.889999
11,2/2/16,53.84,127.010002,166.869995,113.879997
12,2/3/16,53.950001,126.83000200000001,166.779999,112.75
13,2/4/16,55.43,126.639999,168.649994,114.199997
14,2/5/16,52.259997999999996,123.379997,164.779999,111.720001
15,2/8/16,51.130001,117.220001,156.96000700000002,110.019997
16,2/9/16,51.48,119.82,159.529999,111.160004
17,2/10/16,51.48,121.470001,161.070007,112.739998
18,2/11/16,54.549999,119.980003,158.020004,110.620003
19,2/12/16,55.889998999999996,121.550003,160.369995,111.82
20,2/16/16,58.099998,124.83000200000001,166.639999,115.150002
21,2/17/16,59.220001,127.559998,168.309998,118.300003
22,2/18/16,60.400002,128.020004,167.75,117.449997
23,2/19/16,59.580002,127.230003,165.33999599999999,117.68
24,2/22/16,62.689999,132.169998,171.75,121.269997
25,2/23/16,62.279999,131.270004,172.830002,121.150002
26,2/24/16,62.380001,130.75,172.28999299999998,120.199997
27,2/25/16,63.369999,132.229996,176.600006,121.199997
28,2/26/16,62.66,132.5,178.71000700000002,121.33000200000001
29,2/29/16,62.040001000000004,130.690002,176.970001,119.099998
30,3/1/16,63.740002000000004,131.800003,181.229996,121.66999799999999
31,3/2/16,64.010002,134.08999599999999,182.699997,121.269997
32,3/3/16,64.860001,132.970001,183.220001,121.82
33,3/4/16,63.93,132.350006,183.25,121.800003
34,3/7/16,64.529999,133.199997,184.25,121.760002
35,3/8/16,63.080002,132.479996,182.520004,121.660004
36,3/9/16,63.73,134.53999299999998,184.429993,121.099998
37,3/10/16,63.889998999999996,137.809998,184.759995,122.089996
38,3/11/16,66.239998,143.100006,186.91000400000001,125.099998
39,3/14/16,65.599998,144.169998,186.330002,125.220001
40,3/15/16,63.970001,142.309998,183.91000400000001,124.849998
41,3/16/16,64.839996,143.509995,183.389999,124.900002
42,3/17/16,64.190002,140.350006,182.53999299999998,124.529999
43,3/18/16,64.480003,142.679993,184.600006,126.720001
44,3/21/16,63.259997999999996,140.0,183.729996,126.739998
45,3/22/16,63.34,140.869995,184.360001,128.020004
46,3/23/16,62.919998,139.5,183.58999599999999,129.78999299999998
47,3/24/16,63.34,139.970001,184.070007,128.58999599999999
48,3/28/16,63.290001000000004,139.559998,182.929993,128.919998
49,3/29/16,65.300003,140.279999,185.759995,129.830002
50,3/30/16,64.260002,139.970001,184.889999,129.679993
51,3/31/16,64.489998,138.990005,182.949997,128.899994
52,4/1/16,64.910004,141.850006,184.740005,129.919998
53,4/4/16,64.449997,147.259995,185.470001,129.490005
54,4/5/16,63.169998,143.33999599999999,181.029999,127.040001
55,4/6/16,64.269997,144.869995,180.350006,128.029999
56,4/7/16,62.91,143.419998,172.580002,126.870003
57,4/8/16,62.790001000000004,143.740005,171.029999,125.68
58,4/11/16,60.509997999999996,140.899994,167.46000700000002,126.33000200000001
59,4/12/16,61.02,142.869995,170.41000400000001,126.800003
60,4/13/16,62.029999,143.550003,169.96000700000002,127.760002
61,4/14/16,61.279999,143.21000700000002,168.240005,127.980003
62,4/15/16,61.220001,142.91000400000001,169.869995,127.33000200000001
63,4/18/16,61.720001,142.58999599999999,171.720001,127.809998
64,4/19/16,62.43,144.399994,174.770004,130.5
65,4/20/16,63.740002000000004,145.520004,174.5,133.929993
66,4/21/16,63.419998,145.91000400000001,173.449997,132.96000700000002
67,4/22/16,65.059998,147.520004,175.300003,134.130005
68,4/25/16,65.480003,146.08999599999999,176.110001,133.779999
69,4/26/16,67.720001,147.070007,178.479996,134.240005
70,4/27/16,65.220001,144.759995,177.559998,132.800003
71,4/28/16,64.220001,144.0,177.869995,132.070007
72,4/29/16,51.759997999999996,140.770004,177.070007,131.679993
73,5/2/16,49.790001000000004,140.479996,177.610001,132.100006
74,5/3/16,47.959998999999996,141.419998,176.929993,132.46000700000002
75,5/4/16,46.23,138.729996,175.699997,132.029999
76,5/5/16,45.369999,137.070007,174.110001,132.309998
77,5/6/16,45.490002000000004,137.25,170.679993,132.03999299999998
78,5/9/16,47.169998,138.440002,171.279999,132.669998
79,5/10/16,46.959998999999996,140.16000400000001,173.53999299999998,133.570007
80,5/11/16,46.619999,139.570007,170.059998,130.690002
81,5/12/16,46.720001,136.080002,165.809998,129.740005
82,5/13/16,46.740002000000004,135.509995,165.229996,129.0
83,5/16/16,46.68,137.229996,171.520004,130.639999
84,5/17/16,46.049999,136.21000700000002,170.800003,129.559998
85,5/18/16,45.799999,136.080002,170.220001,130.509995
86,5/19/16,45.34,133.78999299999998,168.330002,130.0
87,5/20/16,46.009997999999996,135.729996,169.600006,130.940002
88,5/23/16,46.77,133.179993,169.58999599999999,130.419998
89,5/24/16,47.119999,128.479996,170.779999,132.58999599999999
