Date,MOH,ANTM,HUM,UNH
1/19/16,54.02,136.850006,164,112.580002
1/20/16,55.279999,137.490005,164.740005,114.790001
1/21/16,55.419998,138.779999,166.110001,113.5
1/22/16,56.299999,141.399994,166.220001,114.330002
1/25/16,54.509998,138.669998,163.289993,113.379997
1/26/16,55.700001,137.759995,164.660004,113.959999
1/27/16,54.389999,131.229996,161.300003,112.330002
1/28/16,53.66,126.419998,159.789993,111.379997
1/29/16,54.91,130.490005,162.789993,115.160004
2/1/16,54.400002,129.720001,167.580002,115.889999
2/2/16,53.84,127.010002,166.869995,113.879997
2/3/16,53.950001,126.830002,166.779999,112.75
2/4/16,55.43,126.639999,168.649994,114.199997
2/5/16,52.259998,123.379997,164.779999,111.720001
2/8/16,51.130001,117.220001,156.960007,110.019997
2/9/16,51.48,119.82,159.529999,111.160004
2/10/16,51.48,121.470001,161.070007,112.739998
2/11/16,54.549999,119.980003,158.020004,110.620003
2/12/16,55.889999,121.550003,160.369995,111.82
2/16/16,58.099998,124.830002,166.639999,115.150002
2/17/16,59.220001,127.559998,168.309998,118.300003
2/18/16,60.400002,128.020004,167.75,117.449997
2/19/16,59.580002,127.230003,165.339996,117.68
2/22/16,62.689999,132.169998,171.75,121.269997
2/23/16,62.279999,131.270004,172.830002,121.150002
2/24/16,62.380001,130.75,172.289993,120.199997
2/25/16,63.369999,132.229996,176.600006,121.199997
2/26/16,62.66,132.5,178.710007,121.330002
2/29/16,62.040001,130.690002,176.970001,119.099998
3/1/16,63.740002,131.800003,181.229996,121.669998
3/2/16,64.010002,134.089996,182.699997,121.269997
3/3/16,64.860001,132.970001,183.220001,121.82
3/4/16,63.93,132.350006,183.25,121.800003
3/7/16,64.529999,133.199997,184.25,121.760002
3/8/16,63.080002,132.479996,182.520004,121.660004
3/9/16,63.73,134.539993,184.429993,121.099998
3/10/16,63.889999,137.809998,184.759995,122.089996
3/11/16,66.239998,143.100006,186.910004,125.099998
3/14/16,65.599998,144.169998,186.330002,125.220001
3/15/16,63.970001,142.309998,183.910004,124.849998
3/16/16,64.839996,143.509995,183.389999,124.900002
3/17/16,64.190002,140.350006,182.539993,124.529999
3/18/16,64.480003,142.679993,184.600006,126.720001
3/21/16,63.259998,140,183.729996,126.739998
3/22/16,63.34,140.869995,184.360001,128.020004
3/23/16,62.919998,139.5,183.589996,129.789993
3/24/16,63.34,139.970001,184.070007,128.589996
3/28/16,63.290001,139.559998,182.929993,128.919998
3/29/16,65.300003,140.279999,185.759995,129.830002
3/30/16,64.260002,139.970001,184.889999,129.679993
3/31/16,64.489998,138.990005,182.949997,128.899994
4/1/16,64.910004,141.850006,184.740005,129.919998
